Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
XTSLA,BLK CSH FND TREASURY SL AGENCY,STIF,Cash and/or Derivatives,Money Market,"22,638,549.60",1.27,"22,638,549.60","22,638,550.00",1,United States,-,USD,1,USD,-
BLDR,BUILDERS FIRSTSOURCE INC,EQUITY,Industrials,Equity,"15,272,605.08",0.86,"15,272,605.08","124,868.00",122.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
VST,VISTRA CORP,EQUITY,Utilities,Equity,"15,246,600.72",0.85,"15,246,600.72","623,838.00",24.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
SO,SOUTHERN,EQUITY,Utilities,Equity,"14,642,907.65",0.82,"14,642,907.65","206,093.00",71.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
AQN,ALGONQUIN POWER UTILITIES CORP,EQUITY,Utilities,Equity,"14,416,240.80",0.81,"14,416,240.80","1,706,064.00",8.45,Canada,New York Stock Exchange Inc.,USD,1,USD,-
FTS,FORTIS INC,EQUITY,Utilities,Equity,"14,286,071.95",0.8,"14,286,071.95","332,621.00",42.95,Canada,New York Stock Exchange Inc.,USD,1,USD,-
MGEE,MGE ENERGY INC,EQUITY,Utilities,Equity,"14,211,211.40",0.8,"14,211,211.40","187,483.00",75.8,United States,NASDAQ,USD,1,USD,-
ED,CONSOLIDATED EDISON INC,EQUITY,Utilities,Equity,"14,045,479.04",0.79,"14,045,479.04","147,289.00",95.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
POR,PORTLAND GENERAL ELECTRIC,EQUITY,Utilities,Equity,"13,941,299.58",0.78,"13,941,299.58","280,002.00",49.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSX,CSX CORP,EQUITY,Industrials,Equity,"13,893,042.70",0.78,"13,893,042.70","428,930.00",32.39,United States,NASDAQ,USD,1,USD,-
CEG,CONSTELLATION ENERGY CORP,EQUITY,Utilities,Equity,"13,763,193.40",0.77,"13,763,193.40","169,081.00",81.4,United States,NASDAQ,USD,1,USD,-
AWR,AMERICAN STATES WATER,EQUITY,Utilities,Equity,"13,743,213.16",0.77,"13,743,213.16","153,196.00",89.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
IDA,IDACORP INC,EQUITY,Utilities,Equity,"13,723,055.25",0.77,"13,723,055.25","129,475.00",105.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
UTL,UNITIL CORP,EQUITY,Utilities,Equity,"13,675,529.01",0.77,"13,675,529.01","245,213.00",55.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
ATO,ATMOS ENERGY CORP,EQUITY,Utilities,Equity,"13,672,152.59",0.77,"13,672,152.59","118,507.00",115.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
EIX,EDISON INTERNATIONAL,EQUITY,Utilities,Equity,"13,665,829.95",0.77,"13,665,829.95","198,487.00",68.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
PNW,PINNACLE WEST CORP,EQUITY,Utilities,Equity,"13,655,074.95",0.77,"13,655,074.95","174,595.00",78.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
OGE,OGE ENERGY CORP,EQUITY,Utilities,Equity,"13,653,668.27",0.77,"13,653,668.27","373,153.00",36.59,United States,New York Stock Exchange Inc.,USD,1,USD,-
NEE,NEXTERA ENERGY INC,EQUITY,Utilities,Equity,"13,589,495.20",0.76,"13,589,495.20","180,952.00",75.1,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,EQUITY,Utilities,Equity,"13,572,408.33",0.76,"13,572,408.33","221,013.00",61.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
AWK,AMERICAN WATER WORKS INC,EQUITY,Utilities,Equity,"13,553,072.98",0.76,"13,553,072.98","95,626.00",141.73,United States,New York Stock Exchange Inc.,USD,1,USD,-
BKH,BLACK HILLS CORP,EQUITY,Utilities,Equity,"13,539,658.11",0.76,"13,539,658.11","214,269.00",63.19,United States,New York Stock Exchange Inc.,USD,1,USD,-
