Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Raytheon Technologies Corp.,0.36%,Aerospace,US,"$21,002,357.20 ","155,171",RTX
Boeing Co.,0.30%,Aerospace,US,"$17,753,346.28 ","63,370",BA
TransDigm Group Inc.,0.10%,Aerospace,US,"$5,697,752.78 ","5,497",TDG
Howmet Aerospace Inc.,0.04%,Aerospace,US,"$2,360,403.33 ","39,336",HWM
HEICO Corp.,0.03%,Aerospace,US,"$1,921,346.64 ","10,565",HEI
HEICO Corp.,0.03%,Aerospace,US,"$1,921,346.64 ","10,565",HEI
Textron Inc.,0.03%,Aerospace,US,"$1,966,193.19 ","21,680",TXT
ATI Inc.,0.01%,Aerospace,US,"$717,563.95 ","13,714",ATI
HEICO Corp.,0.01%,Aerospace,US,"$509,727.26 ","2,231",HEI
HEICO Corp.,0.01%,Aerospace,US,"$509,727.26 ","2,231",HEI
Maxar Technologies Inc.,0.01%,Aerospace,US,"$533,394.71 ","7,468",MAXR.TO
Moog Inc.,0.01%,Aerospace,US,"$369,411.56 ","3,026",MOG-A
Spirit AeroSystems Holdings Inc.,0.01%,Aerospace,US,"$449,929.75 ","11,159",SPR
AAR Corp.,0.00%,Aerospace,US,"$248,800.25 ","3,479",AIR
AerSale Corp.,0.00%,Aerospace,US,"$45,222.55 ","2,063",ASLE
AgEagle Aerial Systems Inc.,0.00%,Aerospace,US,"$3,539.24 ","6,647",UAVS
Air T Inc.,0.00%,Aerospace,US,"$3,749.50 ",112,AIRS
Archer Aviation Inc.,0.00%,Aerospace,US,"$34,242.44 ","12,765",ACHR
Astra Space Inc.,0.00%,Aerospace,US,"$10,380.65 ","18,135",ASTR
Astronics Corp.,0.00%,Aerospace,US,"$55,043.05 ","2,756",ATRO
Astrotech Corp.,0.00%,Aerospace,US,"$1,849.30 ",133,ASTC
BlackSky Technology Inc.,0.00%,Aerospace,US,"$14,918.70 ","8,880",BKSY
Ducommun Inc.,0.00%,Aerospace,US,"$85,672.03 ","1,265",DCO
Innovative Solutions and Support Inc.,0.00%,Aerospace,US,"$10,522.95 ","1,204",ISSC
Joby Aviation Inc.,0.00%,Aerospace,US,"$179,306.30 ","30,564",JOBY
Kaman Corp.,0.00%,Aerospace,US,"$83,103.94 ","2,779",KAMN
Momentus Inc.,0.00%,Aerospace,US,"$3,273.38 ","5,617",MNTS
Park Aerospace Corp.,0.00%,Aerospace,US,"$37,026.68 ","2,089",PKE
Redwire Corp.,0.00%,Aerospace,US,"$8,391.66 ","1,918",RDW
Rocket Lab USA Inc.,0.00%,Aerospace,US,"$145,945.53 ","27,480",RKLB
Sidus Space Inc.,0.00%,Aerospace,US,$569.81 ,"1,703",SIDU
Terran Orbital Corp.,0.00%,Aerospace,US,"$19,884.15 ","8,245",LLAP
Triumph Group Inc.,0.00%,Aerospace,US,"$89,569.25 ","6,116",TGI
Virgin Galactic Holdings Inc.,0.00%,Aerospace,US,"$109,111.33 ","22,125",SPCE
Delta Air Lines Inc.,0.05%,Airlines,US,"$3,157,165.43 ","67,918",DAL
Southwest Airlines Co.,0.04%,Airlines,US,"$2,583,362.96 ","62,950",LUV
United Airlines Holdings Inc.,0.03%,Airlines,US,"$2,050,156.92 ","34,548",UAL
American Airlines Group Inc.,0.02%,Airlines,US,"$1,277,203.28 ","69,112",AAL
Alaska Air Group Inc.,0.01%,Airlines,US,"$795,745.78 ","13,514",ALK
JetBlue Airways Corp.,0.01%,Airlines,US,"$329,926.67 ","34,106",JBLU
Allegiant Travel Co.,0.00%,Airlines,US,"$233,815.61 ","1,661",ALGT
Frontier Group Holdings Inc.,0.00%,Airlines,US,"$43,139.04 ","3,355",ULCC
Hawaiian Holdings Inc.,0.00%,Airlines,US,"$59,557.67 ","5,277",HA
Mesa Air Group Inc.,0.00%,Airlines,US,"$10,812.50 ","3,782",MESA
SkyWest Inc.,0.00%,Airlines,US,"$206,854.41 ","5,395",SKYW
Spirit Airlines Inc.,0.00%,Airlines,US,"$268,704.12 ","11,598",SAVE
Sun Country Airlines Holdings Inc.,0.00%,Airlines,US,"$104,357.26 ","3,904",SNCY
Wheels Up Experience Inc.,0.00%,Airlines,US,"$11,175.64 ","17,835",UP
Clearway Energy Inc.,0.01%,Alternative Electricity,US,"$332,553.04 ","8,082",CWEN
Clearway Energy Inc.,0.01%,Alternative Electricity,US,"$332,553.04 ","8,082",CWEN
Ormat Technologies Inc.,0.01%,Alternative Electricity,US,"$625,295.30 ","5,378",ORA
Sunrun Inc.,0.01%,Alternative Electricity,US,"$616,011.55 ","21,610",RUN
Altus Power Inc.,0.00%,Alternative Electricity,US,"$25,442.95 ","4,136",AMPS
Clearway Energy Inc.,0.00%,Alternative Electricity,US,"$169,051.92 ","4,306",CWEN
Clearway Energy Inc.,0.00%,Alternative Electricity,US,"$169,051.92 ","4,306",CWEN
Sunnova Energy International Inc.,0.00%,Alternative Electricity,US,"$250,206.52 ","10,283",NOVA
ChargePoint Holdings Inc.,0.01%,Alternative Fuels,US,"$339,523.29 ","28,904",CHPT
Advent Technologies Holdings Inc.,0.00%,Alternative Fuels,US,"$2,669.40 ","2,592",ADN
Aemetis Inc.,0.00%,Alternative Fuels,US,"$11,399.30 ","3,790",AMTX
